Conn Time., Send Time, Recv Time,,,,,
0.802,0.1366,3.8775,,,,,
0.5285,0.0572,2.3799,,,,,
0.5514,0.059,1.9774,,,,,
0.5818,0.1772,2.0849,,,,,
0.5609,0.0292,2.3087,,,,,
0.517,0.0619,3.5686,,,,,
0.5163,0.0282,2.4674,,,,,
0.5478,0.0583,2.8113,,,,,
0.6138,0.0673,1.9882,,,,,
0.6102,0.0572,2.4799,,,,,
0.5155,0.0539,2.0364,,,,,
0.5509,0.0562,2.0504,,,,,
0.5921,0.0891,2.2831,,,,,
0.6469,0.0619,3.1426,,,,,
0.5221,0.0564,2.0411,,,,,
0.4843,0.0688,2.0024,,,,,
0.4909,0.0575,2.18,,,,,
0.546,0.0619,2.5213,,,,,
0.4938,0.0559,1.9256,,,,,
0.484,0.0554,1.7548,,,,,
0.5584,0.0584,1.7959,,,,,
0.4406,0.0534,1.8372,,,,,
0.5538,0.062,2.0969,,,,,
0.4896,0.053,2.0815,,,,,
0.4686,0.0522,1.7704,,,,,
0.395,0.0177,1.9689,,,,,
0.5452,0.0589,2.7663,,,,,
0.5652,0.0701,2.1281,,,,,
0.5823,0.0528,1.9098,,,,,
0.4748,0.0408,1.6328,,,,,
0.3777,0.0255,1.8037,,,,,
0.4464,0.0195,2.2884,,,,,
0.6288,0.0674,2.3323,,,,,
0.5137,0.0492,2.1599,,,,,
0.5078,0.0586,2.0255,,,,,
0.5053,0.0511,2.0819,,,,,
0.6246,0.0603,2.3764,,,,,
0.5945,0.0613,2.1317,,,,,
0.4836,0.0499,2.0249,,,,,
0.5064,0.0594,2.0117,,,,,
0.5492,0.0555,2.5674,,,,,
0.5433,0.0621,2.5554,,,,,
0.5346,0.0696,2.5905,,,,,
0.5195,0.0282,2.4059,,,,,
0.5057,0.0605,2.489,,,,,
0.5583,0.0751,2.681,,,,,
0.745,0.0575,2.1222,,,,,
0.517,0.0522,2.086,,,,,
0.566,0.0622,2.1099,,,,,
0.5347,0.0802,2.3898,,,,,
0.5701,0.0803,2.1838,,,,,
0.4987,0.0281,2.26,,,,,
0.4938,0.0517,2.0742,,,,,
0.4208,0.0206,1.3371,,,,,
0.5461,0.0594,2.3758,,,,,
0.5389,0.0529,1.9431,,,,,
0.5343,0.0576,2.2037,,,,,
0.5341,0.057,2.1605,,,,,
0.5359,0.0594,2.0182,,,,,
0.5868,0.0732,2.2043,,,,,
0.5104,0.0643,2.1499,,,,,
0.5227,0.0703,1.8374,,,,,
0.4909,0.0529,1.3444,,,,,
0.3463,0.0426,1.6841,,,,,
0.5923,0.0619,2.1288,,,,,
0.5146,0.0251,1.6982,,,,,
0.419,0.0467,1.6179,,,,,
0.3861,0.0386,1.2925,,,,,
0.4233,0.0281,2.1913,,,,,
0.4198,0.0253,2.2322,,,,,
0.5266,0.0605,1.9562,,,,,
0.4665,0.0237,1.8796,,,,,
0.4532,0.0245,1.6702,,,,,
0.4468,0.0535,1.1722,,,,,
0.3882,0.0506,1.3454,,,,,
0.4009,0.0523,1.7381,,,,,
0.6429,0.068,2.143,,,,,
0.5081,0.0576,2.2493,,,,,
0.6568,0.0573,2.3726,,,,,
0.5238,0.0266,2.6674,,,,,
0.5435,0.0642,3.2506,,,,,
0.5482,0.0586,2.5822,,,,,
0.5428,0.0556,2.0984,,,,,
0.5408,0.06,2.5418,,,,,
0.6679,0.0655,3.7783,,,,,
0.4941,0.0288,2.3338,,,,,
0.4752,0.0231,1.8998,,,,,
0.4754,0.0561,2.0222,,,,,
0.5837,0.0632,2.3958,,,,,
0.5881,0.0578,2.3098,,,,,
0.5316,0.0574,2.103,,,,,
0.5076,0.0525,2.1941,,,,,
0.5125,0.0556,2.7941,,,,,
0.5279,0.0553,2.9463,,,,,
0.5384,0.0607,1.9204,,,,,
